State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,1006435,137577,182470,759522,103824,705705,127947,410256,56.1,380120,68.9,355111,48.5,331550,60.1,533055,410880,62500,0,32745,305523,420930,324,138453,186094,30505,59,138074,163049,30372,55,324802,56.1,380120,68.9,44.4,301372,54.6,410256,78180,85.4,73115,79.8,40782,29305,3002,26,150659,164496,1098870,408927,67.2,354298,58.2,138449,185287,30503,59,757374,124389,165294
Alabama,6485880,132279,170015,4342220,88559,4126631,108172,2520979,51.4,2391838,62.7,1988025,40.5,1901259,49.8,3291300,2905280,289300,0,135645,1928677,2277888,10,852213,997624,137836,352,851821,911329,137758,351,1851070,51.4,2391838,62.7,37.8,1764381,46.2,2520979,726620,85.5,626773,73.8,331790,260610,34148,225,1321381,155486,763191,2520602,60.2,1987970,47.5,852202,997587,137829,352,4341829,103701,154910
Arkansas,3887730,128826,167745,2923649,96880,2727211,117671,1650867,54.7,1537961,66.4,1327589,44,1244453,53.7,1985130,1722700,179900,0,95913,1279378,1545682,2676,570771,662053,94084,681,569727,580491,93575,660,1234056,54.7,1537961,66.4,40.9,1151399,49.7,1650867,443475,84.7,376784,71.9,214579,147811,13998,396,820760,156669,742100,1647079,64.4,1326105,51.9,570764,660695,93967,679,2918437,114124,152028
American Samoa,62040,111404,143032,58461,104978,49693,114566,32389,58.2,27215,62.7,26666,47.9,23103,53.3,45840,15600,600,0,546,14842,43072,1,6489,19623,554,0,6475,16075,553,0,26113,58.2,27215,62.7,46.9,22551,52,32389,2821,29.9,2549,27,1051,1473,25,0,5274,55892,657482,32379,68.1,26661,56.1,6488,19619,554,0,58446,122897,130454
Arizona,9655990,132661,171252,8012829,110086,7477417,132614,4238085,58.2,3947509,70,3632266,49.9,3399824,60.3,5243550,3977840,434600,0,282973,3287055,4430752,12049,1425900,1928910,273728,3728,1425369,1697444,273328,3683,3360324,58.2,3947509,70,46.2,3128274,55.5,4238085,1155654,88.3,1008914,77.1,496076,465599,45256,1983,2307060,176295,737868,4237167,68.3,3631898,58.5,1425876,1928801,273494,3727,8011780,129096,155590
Bureau of Prisons,232500,N/A,N/A,222445,N/A,222443,N/A,119685,N/A,119683,N/A,113375,N/A,113374,N/A,124020,97480,11000,0,11143,89745,121557,0,43313,58947,11115,0,43313,58947,11114,0,102305,N/A,119683,N/A,0,102305,0,119685,3514,0,3449,0,1659,1629,161,0,6838,0,0,119683,0,113374,0,43313,58947,11114,0,222443,0,0
California,57200015,144765,186821,49288453,124742,45542528,148746,27783996,70.3,25698481,83.9,22680963,57.4,21019585,68.7,32042835,22540480,2616700,0,1812097,19040899,28422795,12662,8375346,12501392,1800393,3832,8350211,10872790,1793001,3583,20895354,70.3,25698481,83.9,52.9,19241286,62.8,27783996,5752824,98.5,4648521,79.6,2357387,2109064,180838,1232,10477686,179470,979769,27703882,82.3,22632275,67.3,8374920,12453477,1800054,3824,49159397,146107,170004
Colorado,8021295,139289,178282,6996558,121495,6490159,144251,3717919,64.6,3446851,76.6,3350518,58.2,3116657,69.3,4432935,3247260,341100,0,261677,2786079,3944107,4695,1289600,1802229,257278,1411,1285971,1573217,256106,1363,3095309,64.6,3446851,76.6,53.7,2862589,63.6,3717919,763098,90.6,696387,82.7,340593,331889,23414,491,1503361,178459,952182,3706097,75.1,3342428,67.7,1289584,1794179,257255,1410,6976478,141337,162504
Connecticut,5492115,154044,193531,4922785,138075,4552957,160437,2670089,74.9,2470782,87.1,2401081,67.3,2235044,78.8,3012015,2228400,251700,0,201803,1840923,2879147,912,864662,1335103,200999,317,864277,1169688,200828,251,2200826,74.9,2470782,87.1,61.7,2034948,71.7,2670089,620616,98.5,578223,91.7,228250,329775,20129,69,1207935,191661,871427,2668765,85.9,2400614,77.3,864457,1334923,200919,315,4921070,158440,176826
District of Columbia,1193015,169042,206554,972985,137866,936539,162149,487855,69.1,464696,80.5,414854,58.8,398722,69,672255,466360,54400,0,30419,370601,571535,430,152521,227926,34161,246,152462,211891,34140,229,381050,69.1,464696,80.5,54,364937,63.2,487855,79866,91.4,71431,81.8,39076,29861,2463,31,183763,210392,1365900,487748,80,414805,68,152515,227888,34158,244,972894,159555,195655
