STAID,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_CODE,GEOL_HUNT_DOM_PCT,GEOL_HUNT_DOM_DESC,GEOL_HUNT_SITE_CODE
01011000,sedimentary,100.0,sedimentary,tg,51.4,"Till, or ground moraine",ts
01013500,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01015800,sedimentary,100.0,sedimentary,ts,70.7,"Ice-laid deposits, like tg but mostly sand and silt",ts
01016500,sedimentary,100.0,sedimentary,ts,94.3,"Ice-laid deposits, like tg but mostly sand and silt",ts
01017000,sedimentary,100.0,sedimentary,ts,83.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01017060,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01017290,sedimentary,100.00,sedimentary,ts,100.00,"Ice-laid deposits, like tg but mostly sand and silt",ts
01017550,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01017960,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01018000,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01018009,sedimentary,100.00,sedimentary,ts,100.00,"Ice-laid deposits, like tg but mostly sand and silt",ts
01019000,granitic,78.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01021200,granitic,55.4,volcanic,tg,100.0,"Till, or ground moraine",tg
01021470,ultramafic,58.2,ultramafic,tg,100.0,"Till, or ground moraine",tg
01021480,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01021500,granitic,37.4,volcanic,tg,100.0,"Till, or ground moraine",tg
01022260,granitic,49.3,volcanic,tg,100.0,"Till, or ground moraine",tg
01022330,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01022500,granitic,76.4,ultramafic,tg,100.0,"Till, or ground moraine",tg
01023000,granitic,55.4,granitic,tg,100.0,"Till, or ground moraine",tg
01027200,sedimentary,99.4,sedimentary,tg,98.9,"Till, or ground moraine",tg
01029200,sedimentary,100.0,sedimentary,ts,100.0,"Ice-laid deposits, like tg but mostly sand and silt",ts
01029500,sedimentary,91.2,sedimentary,tg,55.8,"Till, or ground moraine",tg
01030000,sedimentary,86.1,sedimentary,tg,84.2,"Till, or ground moraine",tg
01030500,sedimentary,97.6,sedimentary,ts,61.0,"Ice-laid deposits, like tg but mostly sand and silt",tg
01031300,sedimentary,92.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01031450,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01031500,sedimentary,97.1,sedimentary,tg,100.0,"Till, or ground moraine",tg
01031510,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01033000,sedimentary,91.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01033500,sedimentary,78.7,sedimentary,tg,100.0,"Till, or ground moraine",tg
01034000,sedimentary,91.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01034500,sedimentary,90.9,sedimentary,tg,79.1,"Till, or ground moraine",tg
01035000,granitic,65.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01036500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01037380,sedimentary,100.0,sedimentary,l,100.0,Lake deposits,l
01038000,sedimentary,100.0,sedimentary,tg,70.4,"Till, or ground moraine",l
01041000,sedimentary,71.3,sedimentary,tg,99.7,"Till, or ground moraine",tg
01042500,sedimentary,72.6,sedimentary,tg,99.7,"Till, or ground moraine",tg
01043500,sedimentary,71.7,ultramafic,tg,99.6,"Till, or ground moraine",tg
01044550,gneiss,39.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01045000,sedimentary,64.9,sedimentary,tg,99.8,"Till, or ground moraine",tg
01046000,sedimentary,79.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01046500,sedimentary,71.7,sedimentary,tg,99.8,"Till, or ground moraine",tg
01047000,sedimentary,98.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01047150,sedimentary,76.1,sedimentary,tg,99.8,"Till, or ground moraine",tg
01047200,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
