STAID,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,REACHCODE,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER
01011000,0.57,5,1.53,01010002000001,14.87,87.89,4.09,49.7,2.6,2.4,11.50,166.3,484.4,9.8,4.9,3.9,37.5,109.7,78.7,45.5,28.8,26.3,35.6,39.3,19.0,439.1,62.27,19.78,9.84,4.10,2.89,0.00,1.12
01013500,0.67,5,2.11,01010003000003,16.40,58.05,6.32,53.6,2.3,2.0,12.11,244.8,604.1,9.8,5.1,3.6,40.1,113.7,76.0,43.9,30.0,27.4,37.1,40.0,19.3,446.2,60.87,19.82,8.37,7.95,2.58,0.00,0.41
01015800,0.58,5,1.74,01010004001547,13.21,99.63,2.19,52.0,2.8,1.5,12.19,349.5,585.0,10.6,5.2,4.3,44.8,117.9,80.7,45.7,29.0,25.9,35.4,42.9,20.8,463.3,57.41,19.11,12.34,6.18,3.42,0.00,1.54
01016500,0.71,4,1.69,01010004000068,5.24,21.05,1.03,52.1,2.3,1.3,11.80,259.8,583.6,10.6,5.2,4.0,40.3,116.8,83.7,47.6,31.1,28.6,38.7,42.9,20.7,470.0,59.31,19.06,11.43,9.87,0.00,0.00,0.34
01017000,0.63,5,1.61,01010004000017,11.33,99.86,1.92,52.2,2.6,1.5,12.12,371.8,584.5,10.4,5.2,4.2,42.8,117.2,80.5,45.7,29.5,26.5,36.0,41.8,20.2,460.0,58.59,18.85,11.89,6.10,3.53,0.00,1.05
01017060,0.49,2,1.07,01010004001307,0.00,0.00,0.51,54.0,3.0,2.0,11.56,1025.2,584.0,9.0,4.1,4.0,44.1,109.7,67.0,37.9,25.2,24.1,30.8,36.1,17.1,409.2,94.48,5.52,0.00,0.00,0.00,0.00,0.00
01017290,0.64,4,2.04,01010004001353,3.24,1.00,1.25,54.5,2.6,1.3,12.27,290.7,584.6,9.2,5.0,4.0,45.1,114.8,70.9,40.8,27.8,25.1,34.1,38.0,18.4,433.3,61.68,19.72,8.71,9.05,0.00,0.00,0.84
01017550,0.26,1,1.08,01010005000256,0.00,0.00,0.14,54.0,4.0,2.0,11.32,521.4,596.0,8.0,4.0,4.0,42.2,104.8,64.3,36.8,23.4,23.4,30.4,33.5,16.1,390.9,100.00,0.00,0.00,0.00,0.00,0.00,0.00
01017960,0.71,4,1.46,01010005000136,12.94,21.64,3.19,51.6,2.6,1.3,12.18,456.2,599.7,10.7,5.3,7.0,58.8,122.3,74.2,41.1,26.0,21.5,29.1,42.3,20.7,459.0,59.69,22.85,13.31,4.16,0.00,0.00,0.00
01018000,0.67,4,1.46,01010005000178,8.16,20.33,1.74,51.9,3.2,1.5,12.72,692.3,600.4,10.7,5.4,7.1,60.2,122.3,73.5,40.8,25.6,21.3,28.6,42.5,20.9,458.8,61.10,20.04,16.10,2.76,0.00,0.00,0.00
