STAID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
01011000,363.1,634,186,364,58.8,187,0.395,0.397,5.9,193.9,-0.971,-0.241
01013500,273.3,604,157,253,81.8,157,0.260,0.215,6.9,130.0,-0.642,0.767
01015800,278.3,729,164,261,68.7,166,0.202,0.172,4.6,117.4,-0.460,0.888
01016500,324.6,651,165,317,79.4,165,0.328,0.313,6.8,113.0,-0.391,0.920
01017000,271.8,729,130,253,73.8,131,0.237,0.205,4.8,120.2,-0.503,0.864
01017060,184.5,213,149,184,13.3,155,0.554,0.547,2.6,56.6,0.551,0.834
01017290,221.7,358,124,220,36.7,137,0.418,0.410,3.8,150.3,-0.869,0.495
01017550,198.6,250,175,198,12.2,176,0.314,0.307,2.4,135.1,-0.709,0.706
01017960,186.9,458,108,172,54.5,114,0.226,0.183,5.0,111.1,-0.361,0.933
01018000,177.0,458,101,167,44.1,103,0.213,0.185,3.6,103.4,-0.232,0.973
01018009,170.3,253,109,167,24.6,109,0.425,0.403,3.0,261.3,-0.151,-0.989
01019000,126.0,356,70,112,41.0,85,0.196,0.147,4.9,123.1,-0.546,0.838
01021200,70.6,194,17,60,29.9,17,0.303,0.243,2.9,89.4,0.010,1.000
01021470,64.6,88,42,65,8.3,42,0.491,0.500,1.5,103.7,-0.237,0.972
01021480,97.3,196,51,91,23.9,52,0.319,0.276,3.3,68.2,0.371,0.929
01021500,95.3,416,16,93,40.0,17,0.198,0.193,3.5,106.8,-0.290,0.957
01022260,90.4,384,41,82,39.5,41,0.144,0.120,3.0,115.8,-0.435,0.901
01022330,136.1,448,48,131,45.6,50,0.220,0.208,4.6,186.4,-0.994,-0.111
01022500,97.8,448,16,86,50.3,17,0.189,0.162,3.7,148.5,-0.853,0.522
01023000,130.2,440,49,122,38.8,52,0.208,0.187,4.2,165.3,-0.967,0.254
01027200,476.4,722,327,475,57.7,329,0.378,0.375,5.5,135.4,-0.712,0.702
01029200,246.3,512,157,238,37.9,161,0.252,0.228,3.9,183.5,-0.998,-0.061
01029500,305.9,1472,88,287,145.0,93,0.157,0.144,6.5,89.4,0.010,1.000
01030000,334.7,1593,60,322,146.5,60,0.179,0.171,5.9,115.4,-0.428,0.904
01030500,171.8,736,65,158,53.9,72,0.159,0.139,3.2,138.2,-0.746,0.666
01031300,378.0,791,169,377,65.0,176,0.336,0.334,7.0,100.3,-0.179,0.984
01031450,293.9,664,129,282,90.7,129,0.308,0.286,6.4,90.4,-0.006,1.000
01031500,299.4,791,110,304,105.7,110,0.278,0.285,6.5,93.7,-0.064,0.998
01031510,156.2,298,124,148,28.2,124,0.185,0.138,3.4,342.7,0.955,-0.297
