year,name,country,time,race.time,MF,country.simple
2019,Lawrence Cherono,Kenya,2H 7M 57S,2.1325,Men's,Kenya
2018,Yuki Kawauchi,Japan,2H 15M 58S,2.266111111111111,Men's,Japan
2017,Geoffrey Kirui,Kenya,2H 9M 37S,2.160277777777778,Men's,Kenya
2016,Lemi Berhanu,Ethiopia,2H 12M 45S,2.2125,Men's,Ethiopia
2015,Lelisa Desisa,Ethiopia,2H 9M 17S,2.1547222222222224,Men's,Ethiopia
2014,"Mebrahtom ""Meb"" Keflezighi",United States,2H 8M 37S,2.143611111111111,Men's,United States
2013,Lelisa Desisa,Ethiopia,2H 10M 22S,2.1727777777777777,Men's,Ethiopia
2012,Wesley Korir,Kenya,2H 12M 40S,2.2111111111111112,Men's,Kenya
2011,Geoffrey Mutai,Kenya,2H 3M 2S,2.0505555555555555,Men's,Kenya
2010,Robert Kiprono Cheruiyot,Kenya,2H 5M 52S,2.097777777777778,Men's,Kenya
2009,Deriba Merga,Ethiopia,2H 8M 42S,2.145,Men's,Ethiopia
2008,Robert Kipkoech Cheruiyot,Kenya,2H 7M 46S,2.1294444444444443,Men's,Kenya
2007,Robert Kipkoech Cheruiyot,Kenya,2H 14M 13S,2.2369444444444446,Men's,Kenya
2006,Robert Kipkoech Cheruiyot,Kenya,2H 7M 14S,2.1205555555555557,Men's,Kenya
2005,Hailu Negussie,Ethiopia,2H 11M 45S,2.1958333333333333,Men's,Ethiopia
2004,Timothy Cherigat,Kenya,2H 10M 37S,2.1769444444444446,Men's,Kenya
2003,Robert Kipkoech Cheruiyot,Kenya,2H 10M 11S,2.169722222222222,Men's,Kenya
2002,Rodgers Rop,Kenya,2H 9M 2S,2.1505555555555556,Men's,Kenya
2001,Lee Bong-Ju,South Korea,2H 9M 43S,2.1619444444444444,Men's,other
2000,Elijah Lagat,Kenya,2H 9M 47S,2.1630555555555557,Men's,Kenya
1999,Joseph Chebet,Kenya,2H 9M 52S,2.1644444444444444,Men's,Kenya
1998,Moses Tanui,Kenya,2H 7M 34S,2.1261111111111113,Men's,Kenya
1997,Lameck Aguta,Kenya,2H 10M 34S,2.176111111111111,Men's,Kenya
1996,Moses Tanui,Kenya,2H 9M 15S,2.154166666666667,Men's,Kenya
1995,Cosmas Ndeti,Kenya,2H 9M 22S,2.156111111111111,Men's,Kenya
1994,Cosmas Ndeti,Kenya,2H 7M 15S,2.120833333333333,Men's,Kenya
1993,Cosmas Ndeti,Kenya,2H 9M 33S,2.1591666666666667,Men's,Kenya
1992,Ibrahim Hussein,Kenya,2H 8M 14S,2.1372222222222224,Men's,Kenya
1991,Ibrahim Hussein,Kenya,2H 11M 6S,2.185,Men's,Kenya
1990,Gelindo Bordin,Italy,2H 8M 19S,2.138611111111111,Men's,other
1989,Abebe Mekonnen,Ethiopia,2H 9M 6S,2.151666666666667,Men's,Ethiopia
1988,Ibrahim Hussein,Kenya,2H 8M 43S,2.145277777777778,Men's,Kenya
1987,Toshihiko Seko,Japan,2H 11M 50S,2.1972222222222224,Men's,Japan
1986,Robert de Castella,Australia,2H 7M 51S,2.1308333333333334,Men's,other
1985,Geoff Smith,England,2H 14M 5S,2.234722222222222,Men's,other
1984,Geoff Smith,England,2H 10M 34S,2.176111111111111,Men's,other
1983,Greg A. Meyer,United States,2H 9M 0S,2.15,Men's,United States
1982,Alberto Salazar,United States,2H 8M 52S,2.147777777777778,Men's,United States
1981,Toshihiko Seko,Japan,2H 9M 26S,2.1572222222222224,Men's,Japan
1980,Bill Rodgers,United States,2H 12M 11S,2.2030555555555558,Men's,United States
1979,Bill Rodgers,United States,2H 9M 27S,2.1575,Men's,United States
1978,Bill Rodgers,United States,2H 10M 13S,2.1702777777777778,Men's,United States
1977,Jerome Drayton,Canada,2H 14M 46S,2.246111111111111,Men's,other
1976,Jack Fultz,United States,2H 20M 19S,2.338611111111111,Men's,United States
1975,Bill Rodgers,United States,2H 9M 55S,2.165277777777778,Men's,United States
1974,Neil Cusack,Ireland,2H 13M 39S,2.2275,Men's,other
1973,Jon Anderson,United States,2H 16M 3S,2.2675,Men's,United States
1972,Olavi Suomalainen,Finland,2H 15M 39S,2.2608333333333333,Men's,other
1971,Alvaro Mejia,Colombia,2H 18M 45S,2.3125,Men's,other
1970,Ron Hill,England,2H 10M 30S,2.175,Men's,other
1969,Yoshiaki Unetani,Japan,2H 13M 49S,2.230277777777778,Men's,Japan
1968,Amby Burfoot,United States,2H 22M 17S,2.3713888888888888,Men's,United States
1967,David C. McKenzie,New Zealand,2H 15M 45S,2.2625,Men's,other
1966,Kenji Kimihara,Japan,2H 17M 11S,2.286388888888889,Men's,Japan
1965,Morio Shigematsu,Japan,2H 16M 33S,2.2758333333333334,Men's,Japan
1964,Aurele Vandendriessche,Belgium,2H 19M 59S,2.3330555555555557,Men's,other
1963,Aurele Vandendriessche,Belgium,2H 18M 58S,2.3161111111111112,Men's,other
1962,Eino Oksanen,Finland,2H 23M 48S,2.3966666666666665,Men's,other
1961,Eino Oksanen,Finland,2H 23M 39S,2.3941666666666666,Men's,other
1960,Paavo Kotila,Finland,2H 20M 54S,2.348333333333333,Men's,other
1959,Eino Oksanen,Finland,2H 22M 42S,2.3783333333333334,Men's,other
1958,Franjo Mihalic,Yugoslavia,2H 25M 54S,2.4316666666666666,Men's,other
1957,John J. Kelley,United States,2H 20M 5S,2.334722222222222,Men's,United States
1956,Antti Viskari,Finland,2H 14M 14S,2.237222222222222,Men's,other
1955,Hideo Hamamura,Japan,2H 18M 22S,2.306111111111111,Men's,Japan
1954,Veikko Karvonen,Finland,2H 20M 39S,2.3441666666666667,Men's,other
1953,Keizo Yamada,Japan,2H 18M 51S,2.3141666666666665,Men's,Japan
1952,Doroteo Flores,Guatemala,2H 31M 53S,2.531388888888889,Men's,other
1951,Shigeki Tanaka,Japan,2H 27M 45S,2.4625,Men's,Japan
1950,Ki-Yong Ham,Korea,2H 32M 39S,2.5441666666666665,Men's,other
1949,Karl Gosta Leandersson,Sweden,2H 31M 50S,2.5305555555555554,Men's,other
1948,Gerard Cote,Canada,2H 31M 2S,2.5172222222222222,Men's,other
1947,Yun Bok Suh,Korea,2H 25M 39S,2.4275,Men's,other
1946,Stylianos Kyriakides,Greece,2H 29M 27S,2.4908333333333332,Men's,other
1945,John A. Kelley,United States,2H 30M 40S,2.511111111111111,Men's,United States
1944,Gerard Cote,Canada,2H 31M 50S,2.5305555555555554,Men's,other
1943,Gerard Cote,Canada,2H 28M 25S,2.473611111111111,Men's,other
1942,Bernard Joseph (Joe) Smith,United States,2H 26M 51S,2.4475,Men's,United States
1941,Leslie S. Pawson,United States,2H 30M 38S,2.5105555555555554,Men's,United States
1940,Gerard Cote,Canada,2H 28M 28S,2.4744444444444444,Men's,other
